bits,group_size,bias_bits,index,value
2,2,2,0,-0.76516628265380859
2,2,2,1,-0.080234862864017487
2,2,2,2,0.080234825611114502
2,2,2,3,0.76516634225845337
2,2,3,0,-0.8043053150177002
2,2,3,1,-0.66340506076812744
2,2,3,2,-0.14677105844020844
2,2,3,3,-0.033268101513385773
2,2,3,4,0.033268094062805176
2,2,3,5,0.15068493783473969
2,2,3,6,0.67123287916183472
2,2,3,7,0.80430525541305542
2,2,4,0,-0.8317025899887085
2,2,4,1,-0.74168300628662109
2,2,4,2,-0.21722114086151123
2,2,4,3,-0.15459883213043213
2,2,4,4,-0.10763213038444519
2,2,4,5,-0.080234862864017487
2,2,4,6,-0.048923708498477936
2,2,4,7,-0.013698607683181763
2,2,4,8,0.013698630034923553
2,2,4,9,0.045009784400463104
2,2,4,10,0.076320938766002655
2,2,4,11,0.10763209313154221
2,2,4,12,0.15459883213043213
2,2,4,13,0.21722114086151123
2,2,4,14,0.74168294668197632
2,2,4,15,0.83170253038406372
2,2,6,0,-0.8825831413269043
2,2,6,1,-0.8473581075668335
2,2,6,2,-0.81604695320129395
2,2,6,3,-0.79256355762481689
2,2,6,4,-0.77299416065216064
2,2,6,5,-0.75342464447021484
2,2,6,6,-0.73385524749755859
2,2,6,7,-0.71428573131561279
2,2,6,8,-0.69471621513366699
2,2,6,9,-0.67906069755554199
2,2,6,10,-0.25244617462158203
2,2,6,11,-0.20547947287559509
2,2,6,12,-0.17025443911552429
2,2,6,13,-0.14677105844020844
2,2,6,14,-0.13111545145511627
2,2,6,15,-0.11937379091978073
2,2,6,16,-0.10763213038444519
2,2,6,17,-0.099804297089576721
2,2,6,18,-0.091976523399353027
2,2,6,19,-0.084148749709129333
2,2,6,20,-0.076320916414260864
2,2,6,21,-0.06849314272403717
2,2,6,22,-0.060665369033813477
2,2,6,23,-0.052837595343589783
2,2,6,24,-0.045009821653366089
2,2,6,25,-0.041095875203609467
2,2,6,26,-0.03718198835849762
2,2,6,27,-0.033268101513385773
2,2,6,28,-0.025440327823162079
2,2,6,29,-0.017612554132938385
2,2,6,30,-0.013698607683181763
2,2,6,31,-0.0058708339929580688
2,2,6,32,-0.0019569471478462219
2,2,6,33,0.001956939697265625
2,2,6,34,0.0097847133874893188
2,2,6,35,0.0176125168800354
2,2,6,36,0.021526403725147247
2,2,6,37,0.029354207217693329
2,2,6,38,0.037181980907917023
2,2,6,39,0.045009784400463104
2,2,6,40,0.052837558090686798
2,2,6,41,0.06066536158323288
2,2,6,42,0.064579248428344727
2,2,6,43,0.07240702211856842
2,2,6,44,0.080234825611114502
2,2,6,45,0.084148712456226349
2,2,6,46,0.09197651594877243
2,2,6,47,0.099804289638996124
2,2,6,48,0.11154597997665405
2,2,6,49,0.12720155715942383
2,2,6,50,0.1428571343421936
2,2,6,51,0.1702544093132019
2,2,6,52,0.20547944307327271
2,2,6,53,0.24853229522705078
2,2,6,54,0.68688845634460449
2,2,6,55,0.70645791292190552
2,2,6,56,0.72211349010467529
2,2,6,57,0.74168294668197632
2,2,6,58,0.76125240325927734
2,2,6,59,0.77690804004669189
2,2,6,60,0.79647749662399292
2,2,6,61,0.81604695320129395
2,2,6,62,0.8473581075668335
2,2,6,63,0.8825831413269043
2,2,8,0,-0.9099804162979126
2,2,8,1,-0.87866926193237305
2,2,8,2,-0.86301374435424805
2,2,8,3,-0.85127198696136475
2,2,8,4,-0.84344422817230225
2,2,8,5,-0.839530348777771
2,2,8,6,-0.8277885913848877
2,2,8,7,-0.82387471199035645
2,2,8,8,-0.8199608325958252
2,2,8,9,-0.81604695320129395
2,2,8,10,-0.80821919441223145
2,2,8,11,-0.8043053150177002
2,2,8,12,-0.80039143562316895
2,2,8,13,-0.7964775562286377
2,2,8,14,-0.78864967823028564
2,2,8,15,-0.78473579883575439
2,2,8,16,-0.78082191944122314
2,2,8,17,-0.77690804004669189
2,2,8,18,-0.76908028125762939
2,2,8,19,-0.76516628265380859
2,2,8,20,-0.76125240325927734
2,2,8,21,-0.75733852386474609
2,2,8,22,-0.75342464447021484
2,2,8,23,-0.74951076507568359
2,2,8,24,-0.74559688568115234
2,2,8,25,-0.73776912689208984
2,2,8,26,-0.73385524749755859
2,2,8,27,-0.72994124889373779
2,2,8,28,-0.72602736949920654
2,2,8,29,-0.72211349010467529
2,2,8,30,-0.71819961071014404
2,2,8,31,-0.71428573131561279
2,2,8,32,-0.70645797252655029
2,2,8,33,-0.70254397392272949
2,2,8,34,-0.69863009452819824
2,2,8,35,-0.69471621513366699
2,2,8,36,-0.68688845634460449
2,2,8,37,-0.68297457695007324
2,2,8,38,-0.67514681816101074
2,2,8,39,-0.67123293876647949
2,2,8,40,-0.66340506076812744
2,2,8,41,-0.65557730197906494
2,2,8,42,-0.64383566379547119
2,2,8,43,-0.63209390640258789
2,2,8,44,-0.62426614761352539
2,2,8,45,-0.61643838882446289
2,2,8,46,-0.60469663143157959
2,2,8,47,-0.58904111385345459
2,2,8,48,-0.57338547706604004
2,2,8,49,-0.54598832130432129
2,2,8,50,-0.31115460395812988
2,2,8,51,-0.29941293597221375
2,2,8,52,-0.2954990565776825
2,2,8,53,-0.29158511757850647
2,2,8,54,-0.28767120838165283
2,2,8,55,-0.28375732898712158
2,2,8,56,-0.27984344959259033
2,2,8,57,-0.27592957019805908
2,2,8,58,-0.27201569080352783
2,2,8,59,-0.26810178160667419
2,2,8,60,-0.26418784260749817
2,2,8,61,-0.26027396321296692
2,2,8,62,-0.25636005401611328
2,2,8,63,-0.25244617462158203
2,2,8,64,-0.24853229522705078
2,2,8,65,-0.24461841583251953
2,2,8,66,-0.24070452153682709
2,2,8,67,-0.23679062724113464
2,2,8,68,-0.23287674784660339
